,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
22103,201004070MIL,2010,Nets,Bucks,A,0,89,108,L,0.11334223,-19
22104,201004070OKC,2010,Thunder,Nuggets,H,0,94,98,L,0.64232779,-4
22105,201004070PHO,2010,Spurs,Suns,A,0,101,112,L,0.42700654,-11
22106,201004070TOR,2010,Celtics,Raptors,A,0,115,104,W,0.52524626,11
22107,201004090BOS,2010,Celtics,Wizards,H,0,96,106,L,0.87218797,-10
22108,201004090NJN,2010,Nets,Bulls,H,0,127,116,W,0.39993489,11
22109,201004090OKC,2010,Thunder,Suns,H,0,96,91,W,0.61482775,5
22110,201004090ORL,2010,Knicks,Magic,A,0,103,118,L,0.096269786,-15
22111,201004090SAS,2010,Spurs,Grizzlies,H,0,99,107,L,0.84234816,-8
22112,201004100DEN,2010,Spurs,Nuggets,A,0,104,85,W,0.37345314,19
22113,201004100IND,2010,Nets,Pacers,A,0,102,115,L,0.15929341,-13
22114,201004100MIL,2010,Celtics,Bucks,A,0,105,90,W,0.33061874,15
22115,201004110GSW,2010,Thunder,Warriors,A,0,117,120,L,0.67681468,-3
22116,201004110NYK,2010,Knicks,Heat,H,0,98,111,L,0.39137071,-13
22117,201004120NJN,2010,Nets,Hornets,H,0,95,105,L,0.29460329,-10
22118,201004120NYK,2010,Knicks,Wizards,H,0,114,103,W,0.69368297,11
22119,201004120POR,2010,Thunder,Trailblazers,A,0,95,103,L,0.36173242,-8
22120,201004120SAS,2010,Spurs,Timberwolves,H,0,133,111,W,0.95003837,22
22121,201004130CHI,2010,Celtics,Bulls,A,0,93,101,L,0.48646748,-8
22122,201004140BOS,2010,Celtics,Bucks,H,0,95,106,L,0.66520327,-11
22123,201004140DAL,2010,Spurs,Mavericks,A,0,89,96,L,0.46083689,-7
22124,201004140MIA,2010,Nets,Heat,A,0,86,94,L,0.095973849,-8
22125,201004140OKC,2010,Thunder,Grizzlies,H,0,114,105,W,0.80694604,9
22126,201004140TOR,2010,Knicks,Raptors,A,0,113,131,L,0.32914346,-18
22127,201004170BOS,2010,Celtics,Heat,H,1,85,76,W,0.56270552,9
22128,201004180DAL,2010,Spurs,Mavericks,A,1,94,100,L,0.43921787,-6
22129,201004180LAL,2010,Thunder,Lakers,A,1,79,87,L,0.34855646,-8
22130,201004200BOS,2010,Celtics,Heat,H,1,106,77,W,0.58585149,29
22131,201004200LAL,2010,Thunder,Lakers,A,1,92,95,L,0.33349204,-3
22132,201004210DAL,2010,Spurs,Mavericks,A,1,102,88,W,0.42068255,14
22133,201004220OKC,2010,Thunder,Lakers,H,1,101,96,W,0.60341102,5
22134,201004230MIA,2010,Celtics,Heat,A,1,100,98,W,0.35197514,2
22135,201004230SAS,2010,Spurs,Mavericks,H,1,94,90,W,0.73319036,4
22136,201004240OKC,2010,Thunder,Lakers,H,1,110,89,W,0.61784726,21
22137,201004250MIA,2010,Celtics,Heat,A,1,92,101,L,0.37014657,-9
22138,201004250SAS,2010,Spurs,Mavericks,H,1,92,89,W,0.73980165,3
22139,201004270BOS,2010,Celtics,Heat,H,1,96,86,W,0.63238227,10
22140,201004270DAL,2010,Spurs,Mavericks,A,1,81,103,L,0.48073274,-22
22141,201004270LAL,2010,Thunder,Lakers,A,1,87,111,L,0.37026584,-24
22142,201004290SAS,2010,Spurs,Mavericks,H,1,97,87,W,0.70732236,10
22143,201004300OKC,2010,Thunder,Lakers,H,1,94,95,L,0.61594272,-1
22144,201005010CLE,2010,Celtics,Cavaliers,A,1,93,101,L,0.19805628,-8
22145,201005030CLE,2010,Celtics,Cavaliers,A,1,104,86,W,0.19260752,18
